Prefix,Effective Date,InternationalRate,Description
61870,2/27/2015,0.014,Australia - Adelaide
61881,2/27/2015,0.014,Australia - Adelaide
61882,2/27/2015,0.014,Australia - Adelaide
61883,2/27/2015,0.014,Australia - Adelaide
61884,2/27/2015,0.014,Australia - Adelaide
6172,2/27/2015,0.014,Australia - Brisbane
6173,2/27/2015,0.014,Australia - Brisbane
61261,2/27/2015,0.014,Australia - Canberra
61262,2/27/2015,0.014,Australia - Canberra
6138,2/27/2015,0.014,Australia - Melbourne
6139,2/27/2015,0.014,Australia - Melbourne
614,2/27/2015,0.05333,Australia - Mobile
6116,2/27/2015,0.05333,Australia - Mobile
61401,2/27/2015,0.052,Australia - Mobile - Optus
61402,2/27/2015,0.052,Australia - Mobile - Optus
61403,2/27/2015,0.052,Australia - Mobile - Optus
61411,2/27/2015,0.052,Australia - Mobile - Optus
61412,2/27/2015,0.052,Australia - Mobile - Optus
61413,2/27/2015,0.052,Australia - Mobile - Optus
61421,2/27/2015,0.052,Australia - Mobile - Optus
61422,2/27/2015,0.052,Australia - Mobile - Optus
61423,2/27/2015,0.052,Australia - Mobile - Optus
61431,2/27/2015,0.052,Australia - Mobile - Optus
61432,2/27/2015,0.052,Australia - Mobile - Optus
61434,2/27/2015,0.052,Australia - Mobile - Optus
61435,2/27/2015,0.052,Australia - Mobile - Optus
61466,2/27/2015,0.052,Australia - Mobile - Optus
61478,2/27/2015,0.052,Australia - Mobile - Optus
61481,2/27/2015,0.052,Australia - Mobile - Optus
61482,2/27/2015,0.052,Australia - Mobile - Optus
614683,2/27/2015,0.052,Australia - Mobile - Optus
614684,2/27/2015,0.052,Australia - Mobile - Optus
614685,2/27/2015,0.052,Australia - Mobile - Optus
614686,2/27/2015,0.052,Australia - Mobile - Optus
614687,2/27/2015,0.052,Australia - Mobile - Optus
614688,2/27/2015,0.052,Australia - Mobile - Optus
614689,2/27/2015,0.052,Australia - Mobile - Optus
614790,2/27/2015,0.052,Australia - Mobile - Optus
614791,2/27/2015,0.052,Australia - Mobile - Optus
61400,2/27/2015,0.052,Australia - Mobile - Telstra
61407,2/27/2015,0.052,Australia - Mobile - Telstra
61408,2/27/2015,0.052,Australia - Mobile - Telstra
61409,2/27/2015,0.052,Australia - Mobile - Telstra
61417,2/27/2015,0.052,Australia - Mobile - Telstra
61418,2/27/2015,0.052,Australia - Mobile - Telstra
61419,2/27/2015,0.052,Australia - Mobile - Telstra
61427,2/27/2015,0.052,Australia - Mobile - Telstra
61428,2/27/2015,0.052,Australia - Mobile - Telstra
61429,2/27/2015,0.052,Australia - Mobile - Telstra
61437,2/27/2015,0.052,Australia - Mobile - Telstra
61438,2/27/2015,0.052,Australia - Mobile - Telstra
61439,2/27/2015,0.052,Australia - Mobile - Telstra
61447,2/27/2015,0.052,Australia - Mobile - Telstra
61448,2/27/2015,0.052,Australia - Mobile - Telstra
61455,2/27/2015,0.052,Australia - Mobile - Telstra
61456,2/27/2015,0.052,Australia - Mobile - Telstra
61457,2/27/2015,0.052,Australia - Mobile - Telstra
61458,2/27/2015,0.052,Australia - Mobile - Telstra
61459,2/27/2015,0.052,Australia - Mobile - Telstra
61467,2/27/2015,0.052,Australia - Mobile - Telstra
61473,2/27/2015,0.052,Australia - Mobile - Telstra
61474,2/27/2015,0.052,Australia - Mobile - Telstra
61476,2/27/2015,0.052,Australia - Mobile - Telstra
61477,2/27/2015,0.052,Australia - Mobile - Telstra
61487,2/27/2015,0.052,Australia - Mobile - Telstra
61490,2/27/2015,0.052,Australia - Mobile - Telstra
61497,2/27/2015,0.052,Australia - Mobile - Telstra
61498,2/27/2015,0.052,Australia - Mobile - Telstra
61499,2/27/2015,0.052,Australia - Mobile - Telstra
614444,2/27/2015,0.052,Australia - Mobile - Telstra
614880,2/27/2015,0.052,Australia - Mobile - Telstra
614881,2/27/2015,0.052,Australia - Mobile - Telstra
614882,2/27/2015,0.052,Australia - Mobile - Telstra
614883,2/27/2015,0.052,Australia - Mobile - Telstra
614884,2/27/2015,0.052,Australia - Mobile - Telstra
614885,2/27/2015,0.052,Australia - Mobile - Telstra
614886,2/27/2015,0.052,Australia - Mobile - Telstra
614887,2/27/2015,0.052,Australia - Mobile - Telstra
614889,2/27/2015,0.052,Australia - Mobile - Telstra
